scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
7218,27,2,2412,7a:ae:58:61:a1:27,NK,-40
7219,27,2,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-46
7220,27,2,2462,76:75:55:f3:a7:bd,Redmi Note 13 Pro,-49
7221,27,3,5785,62:d5:76:41:44:83,Pixel,-68
7222,27,3,5785,2c:fe:e2:59:d0:c2,Horion_e9,-52
7223,27,3,2412,7a:ae:58:61:a1:27,NK,-45
7224,27,3,2462,12:38:f1:f0:25:6e,OPPO F21 Pro,-58
7225,27,3,5745,36:62:f9:a1:88:63,CSE OFFICE,-78
7226,27,3,2437,4e:e8:ef:1a:c1:95,Mahdi,-49
7227,27,3,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-79
7228,27,3,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-50
7229,27,4,5785,62:d5:76:41:44:83,Pixel,-68
7230,27,4,5785,2c:fe:e2:59:d0:c2,Horion_e9,-52
7231,27,4,2412,7a:ae:58:61:a1:27,NK,-45
7232,27,4,2462,12:38:f1:f0:25:6e,OPPO F21 Pro,-58
7233,27,4,5745,36:62:f9:a1:88:63,CSE OFFICE,-78
7234,27,4,2437,4e:e8:ef:1a:c1:95,Mahdi,-49
7235,27,4,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-79
7236,27,4,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-50
7237,27,5,5785,62:d5:76:41:44:83,Pixel,-68
7238,27,5,5785,2c:fe:e2:59:d0:c2,Horion_e9,-52
7239,27,5,2412,7a:ae:58:61:a1:27,NK,-45
7240,27,5,2462,12:38:f1:f0:25:6e,OPPO F21 Pro,-58
7241,27,5,5745,36:62:f9:a1:88:63,CSE OFFICE,-78
7242,27,5,2437,4e:e8:ef:1a:c1:95,Mahdi,-49
7243,27,5,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-79
7244,27,5,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-50
7245,27,6,5785,62:d5:76:41:44:83,Pixel,-68
7246,27,6,5785,2c:fe:e2:59:d0:c2,Horion_e9,-52
7247,27,6,2412,7a:ae:58:61:a1:27,NK,-45
7248,27,6,2462,12:38:f1:f0:25:6e,OPPO F21 Pro,-58
7249,27,6,5745,36:62:f9:a1:88:63,CSE OFFICE,-78
7250,27,6,2437,4e:e8:ef:1a:c1:95,Mahdi,-49
7251,27,6,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-79
7252,27,6,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-50
7253,27,7,5785,62:d5:76:41:44:83,Pixel,-68
