entryId,roomNo,60:63:4c:31:37:40_CSE-303,30:b5:c2:ea:5b:44_DataLab@BUET,18:0f:76:c3:06:8d_CSE-304,00:22:b0:05:f3:bc_CSE-204,bc:22:28:21:09:21_nan,36:20:f9:a1:88:62_CSE OFFICE,36:20:f9:a1:88:56_CSE OFFICE,bc:22:28:21:09:24_CSE-205,36:62:f9:a1:88:63_CSE OFFICE,bc:22:28:21:55:6b_CSE-104,34:e8:94:10:7d:fa_Hall of Fame,36:20:f9:a1:8b:8e_CSE OFFICE,36:20:f9:a1:8b:8e_CSE OFFICE,5e:a9:31:22:bb:0a_CSE-LAB,bc:22:28:21:55:6e_CSE-104,bc:22:28:21:09:ba_CSE-206,26:2f:d0:88:39:a2_IAC,36:62:f9:a1:88:57_CSE OFFICE,60:63:4c:31:37:60_CSE-306,10:62:eb:77:b7:42_CSE-G04,00:1e:2a:ba:c8:20_CSE-401,70:4c:a5:95:b6:00_BUET-Free-WiFi,60:63:4c:31:37:48_dlink
36,203,-56.0,-68.0,-69.0,-75.0,-54.09,-65.5,-90.0,-59.0,-88.11,-90.0,-90.0,-90.0,-90.0,-90.0,-74.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
37,203,-50.56,-67.0,-90.0,-90.0,-56.4,-90.0,-90.0,-50.09,-80.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-81.44
38,204,-70.0,-90.0,-90.0,-66.0,-77.0,-68.31,-74.0,-67.0,-81.0,-90.0,-90.0,-79.0,-79.0,-70.0,-63.77,-90.0,-90.0,-86.0,-90.0,-90.0,-90.0,-90.0,-82.29
39,204,-57.0,-70.0,-54.0,-61.94,-75.11,-66.0,-59.0,-64.0,-86.89,-90.0,-76.0,-90.0,-90.0,-90.0,-72.86,-90.0,-74.33,-85.88,-90.0,-90.0,-90.0,-90.0,-90.0
40,204,-60.22,-90.0,-53.38,-66.85,-82.91,-66.25,-67.06,-76.0,-81.4,-90.0,-76.0,-90.0,-90.0,-67.5,-67.76,-90.0,-72.08,-85.09,-86.0,-90.0,-90.0,-90.0,-90.0
41,204,-55.0,-90.0,-49.71,-56.67,-90.0,-90.0,-53.5,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-58.0,-90.0,-90.0,-76.43,-90.0,-71.0,-90.0,-90.0,-82.11
42,204,-59.94,-78.67,-52.0,-71.81,-83.33,-69.25,-62.92,-90.0,-85.0,-90.0,-72.0,-76.5,-76.5,-71.75,-77.57,-90.0,-74.0,-78.83,-82.6,-90.0,-90.0,-85.0,-90.0
43,204,-64.75,-70.0,-63.0,-54.38,-90.0,-75.0,-58.0,-90.0,-93.0,-90.0,-70.67,-90.0,-90.0,-66.0,-90.0,-90.0,-90.0,-80.0,-90.0,-90.0,-90.0,-90.0,-90.0
44,204,-63.0,-71.0,-53.0,-56.0,-88.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-88.0,-90.0,-90.0,-90.0,-90.0,-90.0
45,204,-57.29,-73.0,-49.24,-64.53,-83.25,-63.5,-56.07,-64.0,-87.0,-90.0,-69.0,-72.0,-72.0,-65.0,-69.94,-90.0,-70.5,-82.69,-84.0,-90.0,-90.0,-90.0,-90.0
46,204,-76.0,-71.5,-61.67,-60.0,-83.8,-90.0,-52.94,-90.0,-90.0,-90.0,-76.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-75.62,-90.0,-90.0,-90.0,-90.0,-90.0
47,204,-59.64,-90.0,-53.0,-61.57,-79.0,-90.0,-65.0,-90.0,-87.0,-90.0,-75.0,-90.0,-90.0,-90.0,-66.33,-90.0,-68.0,-82.87,-90.0,-90.0,-90.0,-90.0,-90.0
48,204,-73.89,-80.67,-55.3,-63.22,-86.44,-75.0,-47.86,-90.0,-92.0,-90.0,-66.5,-90.0,-90.0,-61.0,-74.5,-90.0,-75.33,-69.28,-90.0,-90.0,-90.0,-90.0,-92.22
49,204,-56.33,-90.0,-56.38,-67.0,-80.0,-90.0,-62.25,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-68.0,-90.0,-90.0,-86.44,-90.0,-90.0,-90.0,-90.0,-90.0
50,204,-66.93,-65.0,-90.0,-90.0,-80.33,-73.33,-63.28,-90.0,-96.22,-90.0,-90.0,-79.0,-79.0,-90.0,-73.29,-90.0,-73.0,-80.07,-90.0,-90.0,-90.0,-90.0,-90.0
51,204,-54.0,-90.0,-43.8,-53.75,-71.6,-63.0,-64.22,-90.0,-85.43,-90.0,-90.0,-90.0,-90.0,-67.0,-90.0,-90.0,-90.0,-83.13,-90.0,-90.0,-90.0,-90.0,-86.25
52,204,-90.0,-90.0,-90.0,-60.0,-90.0,-90.0,-63.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-83.0,-90.0,-90.0,-90.0,-90.0,-90.0
53,204,-62.0,-90.0,-90.0,-90.0,-90.0,-68.0,-68.0,-76.0,-84.0,-90.0,-90.0,-75.0,-75.0,-90.0,-70.0,-90.0,-73.0,-85.0,-90.0,-90.0,-90.0,-90.0,-90.0
54,204,-65.0,-90.0,-57.0,-51.56,-85.08,-72.0,-52.31,-90.0,-90.0,-90.0,-74.0,-90.0,-90.0,-63.75,-80.0,-90.0,-70.0,-74.06,-90.0,-90.0,-90.0,-90.0,-90.0
55,204,-54.0,-90.0,-45.15,-55.75,-81.5,-53.0,-56.0,-59.0,-84.17,-90.0,-67.0,-90.0,-90.0,-90.0,-64.67,-90.0,-90.0,-80.81,-90.0,-90.0,-90.0,-90.0,-90.0
56,204,-64.5,-65.0,-49.54,-57.17,-76.0,-72.0,-56.0,-90.0,-82.0,-90.0,-70.77,-90.0,-90.0,-90.0,-66.5,-90.0,-63.0,-82.0,-90.0,-90.0,-90.0,-90.0,-90.0
57,204,-58.83,-68.0,-54.89,-65.11,-90.0,-64.1,-65.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-67.0,-73.69,-90.0,-71.5,-90.0,-82.6,-90.0,-90.0,-90.0,-90.0
58,204,-56.0,-90.0,-57.67,-51.33,-79.0,-73.0,-51.0,-90.0,-92.0,-90.0,-64.0,-90.0,-90.0,-62.67,-74.67,-90.0,-90.0,-72.94,-90.0,-90.0,-90.0,-90.0,-81.65
59,204,-90.0,-90.0,-90.0,-90.0,-64.0,-90.0,-90.0,-90.0,-87.0,-90.0,-90.0,-90.0,-90.0,-64.0,-90.0,-90.0,-90.0,-88.0,-90.0,-76.0,-90.0,-90.0,-90.0
60,204,-65.4,-68.0,-90.0,-90.0,-69.25,-90.0,-66.38,-90.0,-92.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-92.0,-90.0,-90.0,-90.0,-90.0,-90.0
61,204,-71.0,-69.0,-69.0,-58.0,-60.0,-67.75,-90.0,-57.29,-88.53,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-76.0,-90.0,-90.0,-90.0
62,204,-55.5,-90.0,-69.0,-69.0,-61.4,-65.82,-90.0,-57.0,-90.35,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
63,204,-55.0,-64.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-85.5,-90.0,-90.0,-90.0,-90.0,-90.0,-76.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
64,204,-61.0,-71.0,-65.0,-78.0,-52.92,-63.0,-67.0,-47.0,-87.94,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
65,204,-90.0,-69.0,-90.0,-90.0,-63.0,-59.8,-90.0,-90.0,-91.39,-90.0,-90.0,-90.0,-90.0,-90.0,-84.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
66,204,-62.0,-64.0,-90.0,-90.0,-61.57,-58.0,-72.0,-58.33,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
67,204,-50.83,-90.0,-59.0,-72.0,-60.06,-58.83,-90.0,-56.56,-86.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-70.0,-90.0,-90.0,-90.0
68,204,-55.67,-90.0,-90.0,-90.0,-90.0,-54.5,-90.0,-90.0,-78.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
69,204,-66.0,-90.0,-69.0,-90.0,-60.77,-64.0,-90.0,-51.6,-88.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
70,204,-62.0,-68.0,-69.0,-67.0,-67.0,-90.0,-90.0,-56.0,-84.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-91.0,-90.0,-90.0,-90.0,-90.0,-85.78
71,204,-75.17,-90.0,-78.0,-90.0,-68.0,-69.8,-90.0,-65.0,-87.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-87.33,-71.0,-90.0,-90.0,-90.0
72,204,-58.0,-61.67,-71.0,-67.75,-90.0,-63.0,-90.0,-90.0,-89.33,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-94.62,-90.0,-90.0,-90.0,-90.0,-90.0
73,204,-61.71,-70.5,-75.0,-69.5,-68.0,-63.14,-90.0,-58.5,-84.29,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
74,204,-61.09,-65.0,-70.0,-90.0,-57.0,-69.5,-77.0,-59.75,-89.0,-90.0,-90.0,-90.0,-90.0,-73.0,-81.0,-90.0,-90.0,-90.0,-90.0,-58.0,-90.0,-90.0,-84.0
75,204,-64.0,-67.2,-90.0,-65.0,-79.86,-90.0,-90.0,-90.0,-87.0,-90.0,-90.0,-90.0,-90.0,-90.0,-93.0,-90.0,-88.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
76,204,-75.5,-71.0,-67.0,-70.12,-64.0,-90.0,-61.4,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-75.0,-90.0,-90.0,-90.0,-88.0,-90.0,-80.0,-90.0,-90.0,-90.0
77,204,-71.0,-74.0,-63.5,-54.53,-82.0,-90.0,-48.29,-90.0,-95.5,-90.0,-70.6,-90.0,-90.0,-62.0,-70.0,-90.0,-90.0,-74.0,-90.0,-90.0,-90.0,-90.0,-90.0
78,Outside_203,-71.5,-55.59,-74.0,-63.8,-90.0,-70.0,-67.9,-90.0,-90.0,-90.0,-72.78,-90.0,-90.0,-90.0,-90.0,-90.0,-86.0,-84.0,-90.0,-90.0,-90.0,-90.0,-90.0
79,Outside_203,-66.5,-52.0,-74.0,-64.4,-90.0,-90.0,-90.0,-61.0,-90.0,-90.0,-70.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
80,Outside_203,-77.17,-79.85,-73.27,-79.55,-90.0,-60.29,-83.0,-90.0,-90.0,-90.0,-87.0,-73.33,-73.33,-85.0,-82.0,-77.46,-86.33,-90.0,-82.2,-90.0,-90.0,-90.0,-90.0
81,Outside_203,-69.89,-72.38,-69.89,-73.5,-90.0,-53.31,-82.0,-90.0,-90.0,-90.0,-88.5,-72.44,-72.44,-82.5,-78.79,-72.57,-86.33,-90.0,-81.8,-79.0,-90.0,-90.0,-90.0
82,Outside_203,-65.36,-77.75,-68.4,-68.17,-90.0,-59.56,-82.67,-90.0,-90.0,-90.0,-90.0,-69.92,-69.92,-76.4,-82.4,-70.27,-85.0,-90.0,-80.88,-90.0,-90.0,-90.0,-90.0
83,Outside_204,-68.5,-81.5,-61.0,-66.0,-78.0,-56.0,-68.0,-90.0,-75.44,-90.0,-90.0,-76.0,-76.0,-64.0,-75.25,-90.0,-74.0,-90.0,-78.0,-90.0,-90.0,-90.0,-90.0
84,Outside_204,-69.07,-80.12,-58.16,-73.75,-90.0,-65.45,-66.17,-90.0,-90.0,-90.0,-85.75,-69.83,-69.83,-82.4,-69.8,-73.55,-81.17,-90.0,-84.0,-80.0,-90.0,-90.0,-90.0
85,Outside_204,-63.11,-88.0,-59.16,-69.05,-90.0,-49.27,-69.5,-90.0,-90.0,-90.0,-86.25,-70.33,-70.33,-84.44,-79.93,-65.9,-84.0,-90.0,-78.94,-90.0,-90.0,-90.0,-90.0
86,Outside_204,-72.67,-81.0,-64.5,-69.71,-90.0,-67.0,-73.4,-90.0,-90.0,-90.0,-80.86,-75.2,-75.2,-80.71,-78.33,-68.95,-75.56,-90.0,-82.5,-87.5,-90.0,-90.0,-90.0
87,Outside_Both,-50.0,-90.0,-90.0,-62.0,-62.0,-90.0,-69.0,-90.0,-86.0,-90.0,-90.0,-90.0,-90.0,-90.0,-62.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
88,Outside_Both,-50.67,-56.2,-61.53,-54.25,-90.0,-90.0,-56.33,-90.0,-83.0,-90.0,-66.71,-73.0,-73.0,-64.17,-71.0,-90.0,-62.0,-78.86,-71.0,-71.76,-90.0,-90.0,-71.58
89,Outside_Both,-57.18,-55.21,-67.06,-55.72,-90.0,-90.0,-62.29,-90.0,-90.0,-90.0,-56.6,-74.0,-74.0,-67.0,-68.5,-90.0,-69.0,-82.67,-83.0,-73.93,-90.0,-90.0,-76.94
90,Outside_Both,-57.2,-68.25,-57.17,-65.56,-90.0,-53.4,-90.0,-90.0,-73.6,-90.0,-90.0,-60.6,-60.6,-90.0,-61.5,-90.0,-69.0,-90.0,-62.67,-66.94,-90.0,-90.0,-74.61
91,Outside_Both,-50.55,-65.5,-54.53,-61.56,-90.0,-59.0,-58.75,-54.0,-78.25,-90.0,-73.2,-65.33,-65.33,-66.0,-61.17,-90.0,-90.0,-82.0,-90.0,-69.33,-90.0,-90.0,-69.0
92,Outside_Both,-57.4,-71.11,-53.11,-66.5,-90.0,-56.33,-69.88,-90.0,-90.0,-90.0,-83.75,-66.12,-66.12,-71.08,-66.0,-69.25,-79.33,-90.0,-69.64,-75.83,-90.0,-90.0,-90.0
93,Outside_Both,-59.62,-62.0,-61.6,-63.4,-90.0,-66.78,-69.62,-90.0,-90.0,-90.0,-71.75,-78.6,-78.6,-73.22,-70.62,-72.14,-76.5,-90.0,-78.78,-69.0,-90.0,-90.0,-90.0
94,Outside_Both,-61.12,-55.75,-90.0,-57.17,-90.0,-71.0,-67.2,-90.0,-84.57,-85.0,-70.45,-90.0,-90.0,-67.86,-76.6,-67.68,-77.0,-84.0,-72.5,-78.0,-76.0,-90.0,-76.0
95,Outside_Both,-58.47,-59.17,-54.38,-66.24,-90.0,-53.47,-60.67,-90.0,-75.69,-65.29,-75.0,-69.0,-69.0,-71.4,-55.12,-72.13,-69.57,-85.17,-65.53,-65.83,-81.33,-90.0,-67.37
96,Outside_Both,-53.32,-56.8,-55.25,-62.75,-90.0,-60.33,-58.87,-90.0,-82.8,-76.68,-62.81,-72.5,-72.5,-71.2,-62.63,-67.58,-58.83,-83.6,-67.19,-70.0,-65.0,-83.0,-67.25
97,Outside_Both,-53.93,-61.22,-63.83,-53.05,-90.0,-68.09,-53.44,-90.0,-85.0,-82.0,-64.85,-75.2,-75.2,-66.75,-67.15,-70.28,-90.0,-76.94,-75.86,-75.5,-79.0,-90.0,-72.0
98,Outside_Both,-61.0,-56.07,-64.0,-58.5,-90.0,-63.67,-60.46,-90.0,-87.0,-84.0,-55.06,-78.0,-78.0,-64.4,-73.69,-70.58,-75.5,-79.0,-76.0,-90.0,-90.0,-90.0,-76.0
99,Outside_Both,-51.36,-63.8,-56.43,-67.67,-90.0,-58.75,-67.0,-90.0,-78.21,-61.11,-74.75,-69.0,-69.0,-78.0,-50.65,-74.55,-90.0,-85.0,-71.0,-57.33,-81.0,-90.0,-71.47
100,Outside_Both,-57.93,-58.29,-59.25,-63.7,-90.0,-57.44,-59.8,-90.0,-74.0,-78.57,-69.86,-73.0,-73.0,-71.0,-69.29,-69.29,-69.5,-79.85,-66.5,-74.0,-72.0,-90.0,-71.33
101,Outside_Both,-53.73,-57.31,-62.5,-55.9,-90.0,-60.6,-56.18,-90.0,-82.89,-83.5,-68.07,-90.0,-90.0,-90.0,-76.57,-69.67,-90.0,-79.06,-68.67,-64.5,-90.0,-90.0,-63.0
102,Outside_Both,-64.27,-57.42,-60.0,-57.37,-90.0,-69.0,-60.73,-90.0,-90.0,-84.0,-57.62,-90.0,-90.0,-71.25,-77.78,-71.9,-80.0,-79.17,-71.0,-71.67,-69.0,-90.0,-79.26
