entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
2,18,76:75:55:f3:a7:bd,Redmi Note 13 Pro,14,-62.93,2.66,-62.11,9,0.31
2,18,56:f1:5f:2e:f3:7a,Horion_yj,3,-76.67,7.32,-76.67,3,7.32
2,18,12:38:f1:f0:25:6e,OPPO F21 Pro,13,-64.85,4.13,-63.5,8,1.32
2,18,36:62:f9:a1:88:63,CSE OFFICE,2,-87.0,0.0,-87.0,2,0.0
2,18,34:60:f9:a1:88:62,,5,-66.8,5.88,-66.0,3,5.66
2,18,96:21:ee:e2:9f:97,Tanvir,5,-73.2,5.15,-72.33,3,4.71
2,18,8e:fa:5f:79:06:05,Ei j eta amar wifi,2,-72.5,0.5,-72.5,2,0.5
2,18,ba:61:33:5d:51:8b,Oggy,4,-68.75,1.3,-68.75,4,1.3
2,18,aa:dc:7e:ea:37:18,moto edge 50 neo_3238,1,-69.0,0.0,-69.0,1,0.0
2,18,36:62:f9:a1:88:57,CSE OFFICE,1,-87.0,0.0,-87.0,1,0.0
2,18,36:20:f9:a1:88:56,CSE OFFICE,1,-68.0,0.0,-68.0,1,0.0
2,18,36:20:f9:a1:8b:8e,CSE OFFICE,1,-74.0,0.0,-74.0,1,0.0
2,18,0a:54:a5:5f:17:37,Galaxy S22C48A,1,-78.0,0.0,-78.0,1,0.0
2,18,bc:22:28:21:09:21,,4,-72.25,1.3,-72.25,4,1.3
2,18,fe:a6:d1:4e:1c:86,narzo 50,3,-74.0,0.0,-74.0,3,0.0
2,18,1c:61:b4:9c:7a:1a,,3,-80.0,0.0,-80.0,3,0.0
2,18,1e:61:b4:ac:7a:1a,CSE-306BL,3,-78.0,0.0,-78.0,3,0.0
2,18,18:0f:76:c3:06:8d,CSE-304,3,-76.0,0.0,-76.0,3,0.0
3,18,62:d5:76:41:44:83,Pixel,16,-73.38,3.55,-72.11,9,1.37
3,18,34:60:f9:a1:88:62,,5,-60.4,1.74,-60.0,3,1.41
