,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-108,CSE-404,CSE-G04,CSE-G07,CSE-306,dlink,
CSE204_Day1_testing_15_o,-71.37,-78.5,-59.21,-83.42,-79.75,-76.17,-73.67,0.0,0.0,0.0,-83.0,0.0,0
CSE204_Day1_testing_12_o,-54.16,-49.6,-59.86,-66.07,-68.17,-67.87,-82.71,0.0,-68.0,0.0,-74.5,0.0,0
CSE204_Day1_testing_16_o,-69.53,-76.57,-59.0,-74.12,-80.33,0.0,-75.0,0.0,-76.0,0.0,-79.89,0.0,0
CSE204_Day1_testing_17_o,-67.14,-80.08,-63.89,-77.12,-81.8,0.0,-77.25,0.0,0.0,0.0,-80.07,0.0,0
