,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-108,CSE-404,CSE-G04,CSE-G07,CSE-306,dlink,
CSE204_Day1_testing_15_o,-66.95,-64.33,-53.75,-77.36,-74.18,-54.79,-74.37,-72.67,0.0,-76.94,-78.0,-88.0,0
CSE204_Day1_testing_12_o,-59.0,-50.76,-66.0,-74.81,-63.0,-53.87,-82.12,-80.0,-81.5,-82.64,-67.55,0.0,0
CSE204_Day1_testing_16_o,-63.71,-73.12,-60.5,-73.56,-67.0,-46.88,-73.67,0.0,0.0,-84.0,-83.0,0.0,0
CSE204_Day1_testing_17_o,-74.0,-70.4,-64.12,-84.5,-77.67,-43.0,-73.13,-85.0,0.0,-80.27,-79.5,0.0,0
