,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-108,CSE-404,CSE-G04,CSE-G07,CSE-306,dlink,
CSE204_Day1_testing_01_i,-60.5,-62.15,-45.0,-71.2,-67.21,-64.37,-77.18,-66.62,-76.0,-85.33,-81.25,-81.74,1
CSE204_Day1_testing_02_i,-61.93,-49.87,-44.41,-71.0,-63.0,-56.0,-72.85,-69.0,0.0,-86.71,-78.11,-82.0,1
CSE204_Day1_testing_05_i,-56.0,-73.62,-65.0,-68.42,-78.0,-59.53,-84.0,-84.0,0.0,0.0,-85.33,0.0,1
CSE204_Day1_testing_10_o,-68.85,-52.25,-55.0,-75.56,-71.43,-53.0,-78.0,-78.75,0.0,-68.75,-73.0,0.0,0
CSE204_Day1_testing_06_i,-55.25,-68.54,-57.29,-68.73,-66.08,-71.0,0.0,-83.25,-86.0,0.0,-85.0,-89.0,1
CSE204_Day1_testing_11_o,-66.25,-52.33,-58.5,-70.2,-72.61,-59.15,-79.8,-78.33,-78.5,-72.61,-59.73,0.0,0
CSE204_Day1_testing_03_i,-56.18,-70.6,-52.62,-73.36,-64.45,-64.29,-80.5,0.0,0.0,0.0,0.0,-86.89,1
CSE204_Day1_testing_04_i,-58.5,-69.27,-62.0,-72.33,-74.0,-64.73,-79.18,-77.89,0.0,-85.14,0.0,-84.0,1
CSE204_Day1_testing_09_i,-67.57,-63.79,-57.64,-63.8,-73.6,-61.2,0.0,-77.8,-83.0,-84.57,0.0,-85.25,1
CSE204_Day1_testing_14_o,-59.81,-56.13,0.0,-58.57,-56.37,-56.36,-79.0,-83.4,-81.0,-87.0,-71.67,-75.35,0
CSE204_Day1_testing_15_o,-66.95,-64.33,-53.75,-77.36,-74.18,-54.79,-74.37,-72.67,0.0,-76.94,-78.0,-88.0,0
CSE204_Day1_testing_07_i,-44.21,-60.4,-62.4,-68.24,-55.05,-65.86,-85.0,-82.0,-84.0,-87.0,0.0,-83.75,1
CSE204_Day1_testing_12_o,-59.0,-50.76,-66.0,-74.81,-63.0,-53.87,-82.12,-80.0,-81.5,-82.64,-67.55,0.0,0
CSE204_Day1_testing_08_i,-59.88,-64.8,-61.0,-68.9,-63.7,-62.79,-79.0,-81.0,0.0,-81.25,0.0,-79.0,1
CSE204_Day1_testing_13_o,-46.82,-51.41,-63.0,-63.38,-59.85,-54.68,-77.43,-81.0,0.0,-85.75,-65.15,0.0,0
CSE204_Day1_testing_18_o,-72.33,-55.0,-61.78,-85.09,-71.91,-62.75,-76.08,-83.0,0.0,-79.12,-60.08,0.0,0
CSE204_Day1_testing_16_o,-63.71,-73.12,-60.5,-73.56,-67.0,-46.88,-73.67,0.0,0.0,-84.0,-83.0,0.0,0
CSE204_Day1_testing_17_o,-74.0,-70.4,-64.12,-84.5,-77.67,-43.0,-73.13,-85.0,0.0,-80.27,-79.5,0.0,0
