,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-G04,CSE-G07,CSE-306,dlink,CSE-401,
CSE203_Day1_testing_17_o,-68.29,-67.0,-70.86,-76.08,-36.12,-81.17,0.0,0.0,-88.0,0.0,0.0,0
CSE203_Day1_testing_04_i,-76.67,-57.44,-70.0,-78.83,-64.2,-73.4,-78.0,-80.75,-84.0,-87.71,-87.67,1
CSE203_Day1_testing_05_i,-72.42,-61.56,-75.5,-80.73,-62.62,-74.85,-82.0,-83.5,-85.75,-87.67,-82.54,1
CSE203_Day1_testing_10_o,-65.8,-56.57,-59.67,-74.83,-67.0,-54.62,-75.75,-79.43,-67.43,0.0,0.0,0
CSE203_Day1_testing_06_i,-71.37,-73.13,-73.07,-78.75,-56.53,-76.33,-77.33,-86.25,-84.92,-87.44,-78.91,1
CSE203_Day1_testing_11_o,-67.6,-54.0,-55.44,-72.69,-59.25,-55.46,-76.14,-76.92,-74.78,0.0,-83.0,0
CSE203_Day1_testing_07_i,-61.45,-66.65,-68.25,-75.0,-54.85,-63.79,-82.25,-85.0,-86.2,-86.91,-82.5,1
CSE203_Day1_testing_12_o,-61.29,-60.43,-58.0,-63.0,-64.1,-64.67,-73.0,-79.14,-75.29,0.0,-76.25,0
CSE203_Day1_testing_08_i,-59.65,-61.67,-58.58,-79.47,-54.39,-68.0,-78.71,-83.89,-84.83,-85.55,-79.11,1
CSE203_Day1_testing_13_o,-51.89,-58.81,-67.46,-61.56,-51.53,-63.64,-75.0,-88.0,-70.14,-72.0,0.0,0
CSE203_Day1_testing_09_i,-67.31,-61.08,-68.89,-74.7,-56.69,-70.62,-80.33,-86.0,-86.83,-81.0,-78.0,1
CSE203_Day1_testing_14_o,-57.08,-56.43,-66.21,-64.56,-58.47,-63.25,0.0,-88.0,-76.0,-81.0,-78.0,0
CSE203_Day1_testing_15_o,-66.36,-65.27,-71.75,-75.33,-46.67,-71.44,-82.0,-87.0,-77.75,0.0,-73.43,0
CSE203_Day1_testing_16_o,-68.0,-70.0,-76.67,-70.0,-51.44,-78.33,-85.5,0.0,0.0,-87.0,-76.0,0
CSE203_Day1_testing_01_i,-70.07,-64.12,-61.29,-73.15,-67.57,-71.2,-73.25,-82.0,0.0,-85.68,-78.67,1
CSE203_Day1_testing_02_i,-66.33,-53.17,-58.78,-78.2,-60.27,-68.25,-75.17,-84.0,-83.6,-84.0,-82.5,1
CSE203_Day1_testing_03_i,-71.5,-62.43,-66.75,-77.86,-67.6,-67.9,-77.0,-84.44,0.0,-85.0,-83.2,1
