entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
38,20,36:62:f9:a1:88:63,CSE OFFICE,19,-83.79,1.64,-83.83,12,1.4
38,20,36:20:f9:a1:88:56,CSE OFFICE,13,-64.92,3.27,-65.75,8,1.85
38,20,30:b5:c2:ea:5b:44,DataLab@BUET,6,-66.5,1.5,-67.33,3,0.47
38,20,36:20:f9:a1:88:62,CSE OFFICE,7,-64.29,1.48,-65.0,4,0.0
38,20,34:e8:94:10:7d:fa,Hall of Fame,11,-70.45,3.23,-71.5,6,1.98
38,20,bc:22:28:21:09:24,CSE-205,8,-71.12,4.57,-71.0,5,3.29
38,20,bc:22:28:21:09:ba,CSE-206,3,-69.0,4.24,-69.0,3,4.24
38,20,60:63:4c:31:37:60,CSE-306,4,-82.5,2.5,-82.5,4,2.5
38,20,5e:a9:31:22:bb:0a,CSE-LAB,3,-62.0,2.83,-62.0,3,2.83
38,20,36:20:f9:a1:8b:8e,CSE OFFICE,5,-77.6,4.08,-78.0,3,3.27
38,20,70:4c:a5:95:b6:00,BUET-Free-WiFi,4,-80.0,0.0,-80.0,4,0.0
38,20,bc:22:28:21:55:6e,CSE-104,7,-64.0,2.67,-64.75,4,2.28
39,20,60:63:4c:31:37:40,CSE-303,8,-66.88,2.89,-67.2,5,2.56
39,20,70:4c:a5:95:b6:00,BUET-Free-WiFi,5,-91.0,4.15,-90.67,3,3.86
39,20,34:e8:94:10:7d:fa,Hall of Fame,7,-74.57,2.61,-75.25,4,1.92
39,20,36:20:f9:a1:88:62,CSE OFFICE,11,-67.27,1.14,-67.67,6,0.47
39,20,36:62:f9:a1:88:63,CSE OFFICE,15,-85.8,1.33,-85.78,9,0.42
39,20,bc:22:28:21:09:24,CSE-205,16,-70.25,2.49,-71.56,9,0.5
39,20,36:62:f9:a1:88:57,CSE OFFICE,17,-85.06,2.9,-85.6,10,1.28
39,20,bc:22:28:21:09:21,CSE-205,18,-76.06,1.96,-76.27,11,0.62
39,20,bc:22:28:21:55:6e,CSE-104,11,-68.64,0.88,-69.0,6,0.0
39,20,bc:22:28:21:55:6b,CSE-104,17,-85.88,1.32,-86.1,10,0.54
39,20,36:20:f9:a1:88:56,CSE OFFICE,12,-63.42,1.85,-63.71,7,1.16
39,20,18:0f:76:c3:06:8d,CSE-304,19,-48.21,2.04,-48.08,12,1.26
39,20,00:1e:2a:ba:c8:20,CSE-401,1,-96.0,0.0,-96.0,1,0.0
