scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
17888,67,1,2472,78:98:e8:38:3b:04,Arham 2.5G Network,-85
17889,67,1,2457,f2:1f:ea:6b:fb:06,hawk,-63
17890,67,1,2452,34:60:f9:a1:88:62,,-67
17891,67,1,5765,34:60:f9:a1:88:63,,-85
17892,67,1,2462,70:4c:a5:64:bf:18,BUET-Free-WiFi,-66
17893,67,1,2462,70:4c:a5:64:bf:19,eduroam,-65
17894,67,1,2452,30:b5:c2:ea:5b:44,DataLab@BUET,-60
17895,67,1,2422,cc:2d:21:4e:ae:60,Sidolli 708,-82
17896,67,1,5785,bc:22:28:21:09:b7,CSE-206,-72
17897,67,1,2417,5e:a9:31:22:be:d6,CSE-LAB,-71
17898,67,1,2412,50:d4:f7:9b:ed:46,HAMEEM,-85
17899,67,1,2452,36:20:f9:a1:8b:8e,CSE OFFICE,-76
17900,67,1,2462,34:e8:94:10:7d:fa,Hall of Fame,-67
17901,67,1,2442,cc:2d:21:36:d7:90,Savage-us,-74
17902,67,1,5765,bc:22:28:21:55:6b,CSE-104,-82
17903,67,1,2462,60:63:4c:31:37:60,CSE-306,-79
17904,67,1,2452,36:20:f9:a1:88:62,CSE OFFICE,-64
17905,67,1,5765,36:62:f9:a1:88:63,CSE OFFICE,-85
17906,67,1,2412,bc:62:ce:6a:3a:2a,RBH 204,-78
17907,67,1,2417,5c:e9:31:22:bb:0a,,-68
17908,67,1,5765,36:62:f9:a1:88:57,CSE OFFICE,-79
17909,67,1,2437,bc:22:28:21:09:ba,CSE-206,-71
17910,67,1,2452,26:2f:d0:88:4c:62,IAC,-85
17911,67,1,2437,be:ed:be:10:4e:dc,Shabab's Galaxy A52,-75
17912,67,1,2452,36:20:f9:a1:88:56,CSE OFFICE,-65
17913,67,1,2437,cc:2d:21:14:ab:60,Sree♥️,-87
17914,67,1,2412,00:22:b0:05:f3:bc,CSE-204,-62
17915,67,1,2412,bc:22:28:21:55:6e,CSE-104,-69
17916,67,1,2417,5e:a9:31:22:bb:0a,CSE-LAB,-69
17917,67,1,2412,18:0f:76:c3:06:8d,CSE-304,-61
17918,67,2,2422,1e:61:b4:ac:79:f2,CSE-306BL,-77
17919,67,2,2432,60:63:4c:31:37:40,CSE-303,-53
17920,67,2,2437,74:da:88:f6:5d:8c,Mimi,-86
17921,67,2,5200,60:63:4c:31:37:48,dlink,-72
17922,67,2,2472,78:98:e8:38:3b:04,Arham 2.5G Network,-85
17923,67,2,2452,34:60:f9:a1:88:56,,-52
17924,67,2,2417,5c:e9:31:22:c8:de,,-80
17925,67,2,2452,34:60:f9:a1:88:62,,-66
17926,67,2,2437,70:4c:a5:64:bc:61,eduroam,-84
17927,67,2,2462,70:4c:a5:64:bf:18,BUET-Free-WiFi,-72
17928,67,2,2462,70:4c:a5:64:bf:19,eduroam,-73
17929,67,2,2452,30:b5:c2:ea:5b:44,DataLab@BUET,-62
17930,67,2,5785,bc:22:28:21:09:b8,,-77
17931,67,2,5785,bc:22:28:21:09:b7,CSE-206,-76
17932,67,2,2462,28:3b:82:4d:c2:ee,801 roomies,-87
17933,67,2,2462,34:e8:94:10:7d:fa,Hall of Fame,-59
17934,67,2,2417,5e:a9:31:22:c8:de,CSE-LAB,-83
17935,67,2,2462,60:63:4c:31:37:60,CSE-306,-74
17936,67,2,2437,12:99:b1:da:35:37,Galaxy M12 834E,-88
17937,67,2,2412,bc:62:ce:6a:3a:2a,RBH 204,-80
17938,67,2,2417,5c:e9:31:22:bb:0a,,-64
17939,67,2,5765,36:62:f9:a1:88:57,CSE OFFICE,-77
17940,67,2,2437,bc:22:28:21:09:ba,CSE-206,-68
17941,67,2,2437,be:ed:be:10:4e:dc,Shabab's Galaxy A52,-73
17942,67,2,2452,36:20:f9:a1:88:56,CSE OFFICE,-54
17943,67,2,2412,00:22:b0:05:f3:bc,CSE-204,-47
17944,67,2,2412,bc:22:28:21:55:6e,CSE-104,-66
17945,67,2,2417,5e:a9:31:22:bb:0a,CSE-LAB,-64
17946,67,3,2437,7a:da:88:f6:5d:8c,,-79
17947,67,3,2422,1e:61:b4:ac:7a:1a,CSE-306BL,-81
17948,67,3,2437,74:da:88:f6:5d:8c,Mimi,-85
