entryId,roomNo,StudentID,DeviceModel,BatteryLifeBefore,BatteryLifeAfter,DateTime,NumScans,AvgDataPerScan
1,Outside,1905008,Redmi 8,49,48,18/11/2024: 13:03:43,20,22.85
2,Outside,1905078,SM-M127G,4,4,18/11/2024: 12:57:56,20,13.9
3,Outside,1905020,SM-S918B,37,37,18/11/2024: 13:07:50,20,16.85
