entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
42,20,00:22:b0:05:f3:bc,CSE-204,12,-63.0,5.05,-63.0,12,5.05
42,20,60:63:4c:31:37:40,CSE-303,7,-65.86,11.61,-65.86,7,11.61
42,20,36:20:f9:a1:88:62,CSE OFFICE,10,-72.1,4.32,-72.1,10,4.32
42,20,36:20:f9:a1:88:56,CSE OFFICE,9,-62.22,0.63,-62.22,9,0.63
42,20,30:b5:c2:ea:5b:44,DataLab@BUET,5,-75.6,1.96,-75.6,5,1.96
42,20,bc:22:28:21:55:6e,CSE-104,5,-72.6,2.94,-72.6,5,2.94
43,14,36:20:f9:a1:88:62,CSE OFFICE,3,-67.0,2.83,-67.0,3,2.83
43,14,60:63:4c:31:37:40,CSE-303,4,-63.25,8.93,-63.25,4,8.93
43,14,36:62:f9:a1:88:63,CSE OFFICE,6,-89.0,5.94,-89.0,6,5.94
43,14,36:62:f9:a1:88:57,CSE OFFICE,4,-82.5,2.29,-82.5,4,2.29
43,14,36:20:f9:a1:88:56,CSE OFFICE,2,-58.0,3.0,-58.0,2,3.0
43,14,bc:22:28:21:55:6e,CSE-104,2,-70.5,8.5,-70.5,2,8.5
43,14,18:0f:76:c3:06:8d,CSE-304,4,-53.5,7.37,-53.5,4,7.37
43,14,00:22:b0:05:f3:bc,CSE-204,3,-66.67,4.64,-66.67,3,4.64
44,20,18:0f:76:c3:06:8d,CSE-304,13,-59.62,3.71,-61.33,9,0.47
44,20,36:20:f9:a1:88:56,CSE OFFICE,20,-55.05,3.32,-55.05,20,3.32
44,20,60:63:4c:31:37:40,CSE-303,16,-62.31,2.26,-62.21,14,0.77
44,20,00:22:b0:05:f3:bc,CSE-204,17,-58.94,3.83,-58.94,17,3.83
44,20,30:b5:c2:ea:5b:44,DataLab@BUET,18,-65.17,4.21,-65.17,18,4.21
44,20,36:20:f9:a1:88:62,CSE OFFICE,6,-69.17,3.29,-70.6,5,0.8
44,20,36:62:f9:a1:88:57,CSE OFFICE,19,-71.74,1.25,-71.13,15,0.5
44,20,bc:22:28:21:55:6e,CSE-104,20,-64.45,5.72,-63.67,15,1.07
44,20,36:62:f9:a1:88:63,CSE OFFICE,3,-92.67,1.25,-92.67,3,1.25
45,20,36:62:f9:a1:88:63,CSE OFFICE,19,-93.79,1.79,-93.79,19,1.79
45,20,00:22:b0:05:f3:bc,CSE-204,9,-70.11,3.03,-70.11,9,3.03
45,20,bc:22:28:21:55:6e,CSE-104,11,-65.91,1.56,-66.3,10,1.0
45,20,18:0f:76:c3:06:8d,CSE-304,19,-49.58,1.79,-49.06,17,1.0
45,20,60:63:4c:31:37:40,CSE-303,8,-65.75,2.99,-65.75,8,2.99
45,20,36:20:f9:a1:88:62,CSE OFFICE,2,-69.0,2.0,-69.0,2,2.0
45,20,36:62:f9:a1:88:57,CSE OFFICE,4,-95.0,1.0,-95.0,4,1.0
45,20,36:20:f9:a1:88:56,CSE OFFICE,13,-58.92,1.82,-59.33,12,1.18
45,20,30:b5:c2:ea:5b:44,DataLab@BUET,2,-79.0,2.0,-79.0,2,2.0
46,20,18:0f:76:c3:06:8d,CSE-304,18,-53.67,6.34,-52.94,16,1.48
46,20,00:22:b0:05:f3:bc,CSE-204,19,-67.89,3.97,-67.89,19,3.97
46,20,60:63:4c:31:37:40,CSE-303,15,-61.13,1.02,-61.2,10,0.4
46,20,36:20:f9:a1:88:56,CSE OFFICE,12,-66.08,3.97,-65.0,11,1.76
46,20,30:b5:c2:ea:5b:44,DataLab@BUET,16,-68.31,1.53,-68.31,16,1.53
46,20,bc:22:28:21:55:6e,CSE-104,11,-75.36,2.9,-74.6,10,1.69
46,20,36:20:f9:a1:88:62,CSE OFFICE,1,-77.0,0.0,-77.0,1,0.0
47,20,60:63:4c:31:37:40,CSE-303,10,-61.4,1.56,-61.4,10,1.56
47,20,36:62:f9:a1:88:63,CSE OFFICE,17,-83.76,1.93,-83.76,17,1.93
47,20,36:62:f9:a1:88:57,CSE OFFICE,18,-82.0,1.29,-82.0,11,0.0
47,20,36:20:f9:a1:88:56,CSE OFFICE,9,-61.22,3.15,-61.22,9,3.15
47,20,30:b5:c2:ea:5b:44,DataLab@BUET,11,-74.45,5.16,-76.56,9,1.64
47,20,00:22:b0:05:f3:bc,CSE-204,16,-60.25,2.66,-59.08,13,1.14
47,20,bc:22:28:21:55:6e,CSE-104,20,-62.05,2.48,-62.05,20,2.48
47,20,18:0f:76:c3:06:8d,CSE-304,13,-55.69,2.05,-55.69,13,2.05
47,20,36:20:f9:a1:88:62,CSE OFFICE,10,-67.6,1.56,-67.6,10,1.56
48,9,36:20:f9:a1:88:56,CSE OFFICE,7,-64.0,4.21,-63.8,5,1.47
48,9,60:63:4c:31:37:40,CSE-303,5,-66.6,4.45,-68.0,3,0.0
48,9,00:22:b0:05:f3:bc,CSE-204,7,-67.86,3.52,-67.86,7,3.52
48,9,36:62:f9:a1:88:57,CSE OFFICE,5,-89.4,1.74,-89.4,5,1.74
48,9,18:0f:76:c3:06:8d,CSE-304,4,-59.5,5.55,-59.5,4,5.55
48,9,bc:22:28:21:55:6e,CSE-104,1,-72.0,0.0,-72.0,1,0.0
48,9,30:b5:c2:ea:5b:44,DataLab@BUET,2,-76.5,6.5,-76.5,2,6.5
48,9,36:62:f9:a1:88:63,CSE OFFICE,1,-87.0,0.0,-87.0,1,0.0
49,20,60:63:4c:31:37:40,CSE-303,18,-54.5,4.55,-54.5,18,4.55
49,20,18:0f:76:c3:06:8d,CSE-304,9,-64.11,5.49,-67.0,7,0.0
49,20,30:b5:c2:ea:5b:44,DataLab@BUET,16,-57.62,3.0,-57.07,15,2.14
49,20,00:22:b0:05:f3:bc,CSE-204,19,-51.11,5.62,-49.59,17,3.6
49,20,bc:22:28:21:55:6e,CSE-104,19,-65.26,2.34,-64.38,16,1.22
49,20,36:20:f9:a1:88:62,CSE OFFICE,19,-60.74,2.15,-60.39,18,1.6
49,20,36:20:f9:a1:88:56,CSE OFFICE,18,-62.67,5.88,-62.67,18,5.88
50,20,36:20:f9:a1:88:56,CSE OFFICE,2,-74.5,0.5,-74.5,2,0.5
50,20,30:b5:c2:ea:5b:44,DataLab@BUET,2,-80.0,1.0,-80.0,2,1.0
50,20,00:22:b0:05:f3:bc,CSE-204,15,-67.8,1.17,-67.8,15,1.17
50,20,18:0f:76:c3:06:8d,CSE-304,10,-62.5,1.12,-63.0,8,0.5
50,20,36:62:f9:a1:88:63,CSE OFFICE,20,-82.3,1.55,-82.78,18,0.63
50,20,36:20:f9:a1:88:62,CSE OFFICE,16,-55.0,1.5,-54.5,14,0.73
50,20,60:63:4c:31:37:40,CSE-303,11,-63.18,0.83,-63.25,8,0.43
50,20,36:62:f9:a1:88:57,CSE OFFICE,11,-88.27,0.75,-88.22,9,0.42
52,20,36:20:f9:a1:88:62,CSE OFFICE,5,-68.8,5.31,-66.5,4,2.96
52,20,60:63:4c:31:37:40,CSE-303,14,-61.79,4.44,-61.79,14,4.44
52,20,18:0f:76:c3:06:8d,CSE-304,3,-68.67,2.62,-68.67,3,2.62
52,20,30:b5:c2:ea:5b:44,DataLab@BUET,14,-64.07,4.5,-64.07,14,4.5
52,20,36:20:f9:a1:88:56,CSE OFFICE,8,-76.12,2.85,-77.0,7,1.77
52,20,00:22:b0:05:f3:bc,CSE-204,15,-70.27,9.75,-70.27,15,9.75
52,20,bc:22:28:21:55:6e,CSE-104,2,-86.5,1.5,-86.5,2,1.5
53,20,60:63:4c:31:37:40,CSE-303,3,-71.0,5.89,-71.0,3,5.89
53,20,30:b5:c2:ea:5b:44,DataLab@BUET,3,-75.67,3.68,-75.67,3,3.68
53,20,36:62:f9:a1:88:63,CSE OFFICE,14,-87.79,3.19,-88.46,13,2.13
53,20,36:20:f9:a1:88:56,CSE OFFICE,2,-83.0,0.0,-83.0,2,0.0
53,20,18:0f:76:c3:06:8d,CSE-304,3,-71.67,1.89,-71.67,3,1.89
53,20,36:20:f9:a1:88:62,CSE OFFICE,8,-68.12,4.17,-67.0,5,0.0
53,20,36:62:f9:a1:88:57,CSE OFFICE,5,-92.0,0.0,-92.0,5,0.0
53,20,bc:22:28:21:55:6e,CSE-104,3,-76.67,14.61,-76.67,3,14.61
53,20,00:22:b0:05:f3:bc,CSE-204,2,-78.0,0.0,-78.0,2,0.0
54,20,30:b5:c2:ea:5b:44,DataLab@BUET,4,-72.75,3.27,-72.75,4,3.27
54,20,36:20:f9:a1:88:62,CSE OFFICE,6,-67.5,7.54,-70.4,5,4.22
54,20,60:63:4c:31:37:40,CSE-303,5,-63.2,5.81,-63.2,5,5.81
54,20,18:0f:76:c3:06:8d,CSE-304,4,-74.75,6.38,-74.75,4,6.38
54,20,36:20:f9:a1:88:56,CSE OFFICE,2,-83.0,1.0,-83.0,2,1.0
54,20,00:22:b0:05:f3:bc,CSE-204,13,-77.08,3.5,-77.08,13,3.5
54,20,36:62:f9:a1:88:63,CSE OFFICE,14,-87.57,3.54,-88.64,11,0.64
54,20,bc:22:28:21:55:6e,CSE-104,1,-70.0,0.0,-70.0,1,0.0
55,3,00:22:b0:05:f3:bc,CSE-204,1,-55.0,0.0,-55.0,1,0.0
55,3,36:62:f9:a1:88:57,CSE OFFICE,3,-76.0,1.41,-76.0,3,1.41
55,3,18:0f:76:c3:06:8d,CSE-304,2,-50.0,1.0,-50.0,2,1.0
55,3,36:20:f9:a1:88:56,CSE OFFICE,3,-50.67,0.47,-50.67,3,0.47
55,3,30:b5:c2:ea:5b:44,DataLab@BUET,1,-75.0,0.0,-75.0,1,0.0
55,3,36:20:f9:a1:88:62,CSE OFFICE,1,-63.0,0.0,-63.0,1,0.0
55,3,60:63:4c:31:37:40,CSE-303,1,-65.0,0.0,-65.0,1,0.0
