macAddress,ssid,total_count
ee:5d:2b:e3:c9:3d,oKo,1
e8:65:d4:fc:e2:68,Net lagbo,1
e4:c3:2a:60:ba:4a,HP,1
d8:32:14:a2:22:f0,Room 143,1
d8:32:14:66:5e:b8,John H. Watson,1
cc:32:e5:03:7d:ab,Salim_fast_network,1
cc:2d:21:53:fe:18,,1
c8:e7:d8:6b:37:de,WifiBackup,1
c8:d3:a3:21:82:88,CSE-118,1
c4:71:54:e7:4a:64,Phoenix,1
c0:25:e9:5e:ba:d4,Group Of Crazy💃,1
b0:19:21:15:12:3e,Second Home 310,1
bc:62:ce:e1:0e:4e,ERROR_404,1
bc:62:ce:c2:2f:02,Auntor,1
bc:62:ce:c2:2e:fd,Auntor-5G,1
bc:62:ce:17:3d:f8,ছায়ালোক-৩,1
94:a6:7e:b3:2e:b4,Room : 157,1
bc:22:28:21:70:5f,CSE-214,1
bc:0f:9a:22:a1:58,AULA142,1
bc:0f:9a:22:a1:4c,Eshik Jindabad,1
b8:3a:08:45:76:b8,2nd Home,1
b8:3a:08:36:ef:71,Diagon Alley,1
b4:b0:24:44:16:9c,209,1
b0:be:76:7b:c2:90,Dipro,1
b0:a7:b9:5c:22:ca,Room344,1
b0:a7:b9:5c:22:c9,Room344,1
94:a6:7e:b3:37:54,NETGEAR30,1
64:64:4a:e1:6c:2b,Shadow,1
90:9a:4a:2c:59:4c,Nameless ,1
58:d9:d5:eb:91:d8,Room_161,1
34:0a:33:6a:0c:f6,DIR_615,1
38:6b:1c:32:14:ce,405,1
3c:52:a1:50:81:ae,Daraz er router,1
3c:52:a1:50:81:b0,eduroam,1
3c:84:6a:56:33:61,Ami Eshik,1
3c:84:6a:56:33:62,Ami Eshik,1
50:0f:f5:6f:41:50,Saban dimu doilla,1
50:0f:f5:a9:76:10,Tui_Nigga,1
50:0f:f5:b2:04:c8,110-1,1
50:0f:f5:b2:04:d8,110-02,1
50:0f:f5:b2:05:78,Nigga Nebir,1
50:d4:f7:9b:b9:7a,No Internet ,1
56:c4:fa:bc:c1:0c,OPPO F25 Pro 5G,1
58:d5:6e:d4:aa:94,D-Link_DIR-615,1
58:d9:d5:53:68:20,Room 109-2,1
34:0a:33:69:a6:d2,AULA 243,1
28:d1:27:d1:9f:cf,colosseum,1
28:87:ba:35:8b:eb,4s,1
1c:61:b4:09:0d:54,BUETian's wifi,1
00:22:b0:05:f3:bb,CSE-51I,1
06:31:92:fc:3a:ee,,1
18:d6:c7:f7:dd:3e,Primian,1
1c:3b:f3:46:2b:90,Comback ki hobe?,1
1c:3b:f3:46:2b:91,Comeback ,1
1c:61:b4:09:0d:53,BUETian's wifi,1
1e:61:b4:19:0d:53,Easy Network :) 01975724515 ,1
28:3b:82:74:a0:46,Room-303,1
1e:61:b4:19:0d:54,Easy Network  :)  01975724515,1
1e:61:b4:29:0d:53,,1
1e:61:b4:29:0d:54,,1
1e:61:b4:ac:7a:1b,CSE-306BL,1
20:23:51:66:ce:84,Wukong's Den,1
20:23:51:67:a3:52,Rasel_210_5G,1
58:d9:d5:53:68:b8,Asgard,1
5c:62:8b:23:93:b3,Leave Me Alone,1
8c:53:c3:91:c9:5d,Brokeass,1
5c:62:8b:23:93:b4,BUET Free WIFI,1
70:4c:a5:95:a4:19,eduroam,1
70:4c:a5:95:a4:20,BUET-Free-WiFi,1
70:4c:a5:95:ae:c8,BUET-Free-WiFi,1
70:4c:a5:95:af:70,BUET-Free-WiFi,1
70:4c:a5:95:b6:18,BUET-Free-WiFi,1
70:4c:a5:d3:60:40,BUET-Free-WiFi,1
70:4c:a5:d3:cf:d1,eduroam,1
70:4c:a5:d3:d6:01,eduroam,1
74:fe:ce:2c:3f:1a,ROOM:612,1
78:8c:b5:25:2b:13,Isildur,1
78:8c:b5:25:2b:14,Loading,1
78:98:e8:38:3b:04,Arham 2.5G Network,1
80:3f:5d:91:48:44,Md shafiq ,1
82:3f:5d:a1:48:44,Md shafiq -Touch,1
84:16:f9:a8:e8:a0,Blackhole,1
70:4c:a5:95:94:89,eduroam,1
70:4c:a5:95:92:f1,eduroam,1
70:4c:a5:64:bf:18,BUET-Free-WiFi,1
60:83:e7:7a:60:e8,Room_244,1
5c:62:8b:66:94:4a,Mahrez,1
5c:e9:31:22:bf:96,,1
5c:e9:31:dd:94:4a,NTS-2,1
60:63:4c:17:ae:88,AURA,1
60:63:4c:31:37:68,dlink,1
60:63:4c:5f:ad:f6,D-Link_DIR-615,1
60:83:e7:7a:60:ea,Room_244,1
70:4c:a5:64:bc:60,BUET-Free-WiFi,1
62:83:e7:2a:60:e8,,1
62:83:e7:6a:60:e8,Aula_244 5GHz,1
62:83:e7:7a:60:e8,,1
66:83:e7:4e:54:6a,,1
68:b9:d3:f5:96:94,GHL-SidePanel,1
6e:7e:bf:c3:83:0e,,1
fe:d3:3e:61:fb:b1,OnePlus 9R,1
