CSE_204_r4c0_o,-54.4,-53.8,-52,-71.22,-53.75,-48.5,-83.75,-73.67,-61.33,-88,0
CSE_204_r4c4_i,-42.73,-76.5,-51,-60.18,-46,-69,-65,-100,-100,-88,0
CSE_204_r0c5_o,-54.82,-49.57,-71.67,-53.91,-39.6,-49.83,-83.67,-100,-77.5,-71.91,0
CSE_204_r3c2_i,-53.64,-57.11,-47.09,-64.27,-55.8,-47.4,-100,-70.17,-87,-77.64,0
CSE_204_r0c3_o,-51.7,-49.89,-54.17,-66.2,-46.33,-50.22,-80,-67.6,-53.25,-100,0
CSE_204_r3c4_i,-48.82,-61.44,-48,-53.18,-60.33,-52.2,-83.33,-89,-100,-87,0
CSE_204_r0c1_o,-67.55,-52.6,-52.5,-71.43,-60.33,-42.45,-58.67,-58.25,-58,-100,0
CSE_204_r3c0_o,-58.91,-49.75,-50,-65.45,-57.8,-41.29,-100,-73.86,-82,-100,0
CSE_204_r4c2_i,-50.36,-45.83,-41.36,-66.36,-59.7,-52.5,-84,-65.86,-77,-70.73,0
CSE_204_r1c2_i,-54.18,-59.56,-51.5,-66.1,-61.2,-49,-88,-73,-100,-74.5,0
CSE_204_r1c4_i,-56.36,-54,-65.25,-64.55,-81.33,-45.67,-100,-100,-100,-100,0
CSE_204_r1c0_o,-62.11,-57,-54.57,-65.33,-60.33,-47,-100,-73.25,-81.5,-100,0
CSE_204_r2c0_o,-62,-66,-54.87,-67.8,-52,-44.2,-87,-67.67,-62.29,-100,0
CSE_204_r2c4_i,-51.09,-54.78,-47.87,-64.45,-58.12,-56.2,-85.5,-70,-88,-100,0
CSE_204_r2c2_i,-51.91,-53.17,-49,-60.82,-57.5,-50.22,-100,-60,-100,-72.64,0
CSE_204_r0c4_o,-43.1,-48,-50.25,-60.9,-44.5,-59,-82.75,-89.33,-79,-64.55,0
CSE_204_r3c1_i,-59.6,-48.57,-38.36,-63.22,-57,-39.6,-79,-68.17,-82.25,-74.91,0
CSE_204_r0c2_o,-63.27,-49.73,-54.6,-67.1,-56.37,-48.7,-60,-67,-62,-57.27,0
CSE_204_r3c3_i,-51.9,-62.9,-51.87,-60.5,-59.75,-57.67,-82.75,-57.33,-81.5,-76.67,0
CSE_204_r0c0_o,-61.11,-52.12,-47,-83,-58.57,-43,-74.67,-69.5,-58.87,-100,0
CSE_204_r4c3_i,-47,-56.17,-50,-56.36,-57.87,-51.4,-85,-87.75,-85.67,-76.2,0
CSE_204_r4c1_i,-59.36,-50.87,-43.64,-64.09,-60.56,-48.87,-83.5,-65.67,-55.5,-100,0
CSE_204_r1c1_i,-59.64,-66.5,-48.82,-62.73,-54.25,-52,-79.5,-74.5,-87.5,-74.73,0
CSE_204_r1c3_i,-58,-53.4,-51.36,-62.45,-61.62,-53,-87,-100,-89,-77.82,0
CSE_204_r2c3_i,-53.27,-52.9,-49.11,-59.55,-58.57,-51.44,-82.67,-75.43,-100,-77.45,0
CSE_204_r2c1_i,-54.1,-45.8,-49.8,-63.2,-61.75,-48.5,-86,-75.14,-100,-73.64,0
