CSE_203_r4c4_i,-66.2,-53.67,-48,-71.33,-54.5,-100,-100,-73.62,-100,-85,1
CSE_203_r0c3_o,-48.43,-48,-44.5,-53.67,-45.56,-46.57,-100,-100,-52,-70.36,0
CSE_203_r0c1_o,-45,-50.3,-46.33,-53.25,-45.25,-48.89,-100,-63.14,-56.33,-100,0
CSE_203_r3c2_i,-63,-54.44,-55.2,-68.62,-52.5,-70.25,-100,-72,-86.5,-75.36,1
CSE_203_r0c5_o,-52.37,-48.57,-100,-48,-51.44,-38.33,-100,-100,-57.5,-71.09,0
CSE_203_r3c4_i,-64.18,-47.8,-70.67,-66.18,-41.55,-100,-100,-75.62,-85,-76.91,1
CSE_203_r4c2_i,-58.55,-57.17,-57.17,-72,-59.55,-66.5,-100,-67.33,-100,-77.27,1
CSE_203_r2c5_o,-46.75,-52.6,-75,-60.14,-31.1,-100,-100,-100,-100,-100,0
CSE_203_r1c1_i,-61.45,-54.33,-46,-59.5,-54.33,-48.25,-100,-71.14,-82,-74.78,1
CSE_203_r1c3_i,-59.1,-51.17,-53.5,-65.83,-52.3,-53.86,-100,-73.86,-76,-77,1
CSE_203_r2c3_i,-54.82,-49.25,-55,-69.4,-48.4,-100,-100,-59.33,-85.5,-77.09,1
CSE_203_r2c1_i,-66.9,-45.25,-57,-71.2,-54.75,-66.67,-100,-76.1,-85.33,-75.45,1
CSE_203_r1c5_o,-55.86,-52.83,-75,-59.33,-40.8,-100,-100,-100,-100,-77.6,0
CSE_203_r4c3_i,-61.91,-52.17,-47.33,-68.33,-55.6,-100,-100,-74.89,-100,-73,1
CSE_203_r0c4_o,-40.86,-52.75,-65,-51.75,-45.5,-43.17,-100,-86,-74.33,-100,0
CSE_203_r3c1_i,-65.4,-52.43,-52.17,-70.43,-52.57,-57.43,-100,-86.67,-100,-76.82,1
CSE_203_r0c2_o,-57.67,-44.11,-43.8,-55.4,-51.2,-45.7,-100,-62,-54.57,-100,0
CSE_203_r3c3_i,-56.73,-53,-54.57,-68.25,-52.2,-67,-100,-69,-86,-74.29,1
CSE_203_r3c5_o,-51.25,-60.87,-72,-59.2,-41.89,-100,-100,-100,-100,-100,0
CSE_203_r0c0_o,-55.4,-52.57,-39.33,-78.5,-58.33,-42.75,-100,-58.5,-56.83,-100,0
CSE_203_r4c1_i,-68.36,-50.8,-45,-72.71,-58.3,-71,-100,-73,-88,-83,1
CSE_203_r1c2_i,-59.1,-55.12,-50.4,-69.17,-59.09,-100,-100,-70.83,-80.33,-73.7,1
CSE_203_r1c4_i,-53.82,-55.87,-69,-67.78,-50.73,-68.5,-100,-58,-84.33,-88,1
CSE_203_r2c4_i,-62.78,-46.67,-52.5,-71.2,-42.55,-100,-100,-89,-87,-100,1
CSE_203_r2c2_i,-51.33,-44.17,-54.17,-66.4,-59.22,-72,-100,-71.4,-78.5,-75.73,1
CSE_204_r4c0_o,-54.4,-53.8,-52,-71.22,-53.75,-48.5,-83.75,-73.67,-61.33,-88,0
CSE_204_r4c4_i,-42.73,-76.5,-51,-60.18,-46,-69,-65,-100,-100,-88,0
CSE_204_r0c5_o,-54.82,-49.57,-71.67,-53.91,-39.6,-49.83,-83.67,-100,-77.5,-71.91,0
CSE_204_r3c2_i,-53.64,-57.11,-47.09,-64.27,-55.8,-47.4,-100,-70.17,-87,-77.64,0
CSE_204_r0c3_o,-51.7,-49.89,-54.17,-66.2,-46.33,-50.22,-80,-67.6,-53.25,-100,0
CSE_204_r3c4_i,-48.82,-61.44,-48,-53.18,-60.33,-52.2,-83.33,-89,-100,-87,0
CSE_204_r0c1_o,-67.55,-52.6,-52.5,-71.43,-60.33,-42.45,-58.67,-58.25,-58,-100,0
CSE_204_r3c0_o,-58.91,-49.75,-50,-65.45,-57.8,-41.29,-100,-73.86,-82,-100,0
CSE_204_r4c2_i,-50.36,-45.83,-41.36,-66.36,-59.7,-52.5,-84,-65.86,-77,-70.73,0
CSE_204_r1c2_i,-54.18,-59.56,-51.5,-66.1,-61.2,-49,-88,-73,-100,-74.5,0
CSE_204_r1c4_i,-56.36,-54,-65.25,-64.55,-81.33,-45.67,-100,-100,-100,-100,0
CSE_204_r1c0_o,-62.11,-57,-54.57,-65.33,-60.33,-47,-100,-73.25,-81.5,-100,0
CSE_204_r2c0_o,-62,-66,-54.87,-67.8,-52,-44.2,-87,-67.67,-62.29,-100,0
CSE_204_r2c4_i,-51.09,-54.78,-47.87,-64.45,-58.12,-56.2,-85.5,-70,-88,-100,0
CSE_204_r2c2_i,-51.91,-53.17,-49,-60.82,-57.5,-50.22,-100,-60,-100,-72.64,0
CSE_204_r0c4_o,-43.1,-48,-50.25,-60.9,-44.5,-59,-82.75,-89.33,-79,-64.55,0
CSE_204_r3c1_i,-59.6,-48.57,-38.36,-63.22,-57,-39.6,-79,-68.17,-82.25,-74.91,0
CSE_204_r0c2_o,-63.27,-49.73,-54.6,-67.1,-56.37,-48.7,-60,-67,-62,-57.27,0
CSE_204_r3c3_i,-51.9,-62.9,-51.87,-60.5,-59.75,-57.67,-82.75,-57.33,-81.5,-76.67,0
CSE_204_r0c0_o,-61.11,-52.12,-47,-83,-58.57,-43,-74.67,-69.5,-58.87,-100,0
