entryId,roomNo,Galaxy M124213,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-108,CSE-404,CSE-G04,CSE-G07,CSE-306,dlink
39,Outside,-61.88,-63.83,-69.83,-58.24,-81.5,-68.5,-47.53,-82.75,-83.44,-88.0,-80.71,-82.0,-90.0
40,Outside,-74.67,-59.81,-56.13,-90.0,-58.57,-56.37,-56.36,-79.0,-83.4,-81.0,-87.0,-71.67,-75.35
41,Outside,-70.41,-68.89,-53.62,-51.0,-78.56,-68.0,-53.43,-83.75,-75.06,-68.67,-65.0,-55.37,-90.0
42,Outside,-66.37,-59.0,-50.76,-66.0,-74.81,-63.0,-53.87,-82.12,-80.0,-81.5,-82.64,-67.55,-90.0
43,Outside,-62.33,-70.44,-51.44,-64.35,-73.56,-52.4,-90.0,-85.67,-79.0,-77.0,-76.5,-64.37,-90.0
44,Outside,-78.47,-72.33,-55.0,-61.78,-85.09,-71.91,-62.75,-76.08,-83.0,-90.0,-79.12,-60.08,-90.0
45,Outside,-64.85,-63.71,-73.12,-60.5,-73.56,-67.0,-46.88,-73.67,-90.0,-90.0,-84.0,-83.0,-90.0
46,204,-51.79,-61.93,-49.87,-44.41,-71.0,-63.0,-56.0,-72.85,-69.0,-90.0,-86.71,-78.11,-82.0
47,204,-55.2,-55.25,-68.54,-57.29,-68.73,-66.08,-71.0,-90.0,-83.25,-86.0,-90.0,-85.0,-89.0
48,204,-54.0,-61.83,-59.44,-50.62,-72.2,-75.67,-48.27,-85.08,-73.28,-85.47,-81.0,-79.25,-84.0
49,204,-58.74,-58.5,-69.27,-62.0,-72.33,-74.0,-64.73,-79.18,-77.89,-90.0,-85.14,-90.0,-84.0
50,204,-56.76,-67.79,-65.22,-51.56,-67.71,-72.0,-50.62,-85.8,-72.75,-83.33,-85.75,-90.0,-85.67
51,204,-66.14,-63.94,-74.25,-61.94,-70.82,-74.29,-61.14,-89.0,-83.71,-88.12,-90.0,-90.0,-90.0
52,204,-55.0,-59.88,-64.8,-61.0,-68.9,-63.7,-62.79,-79.0,-81.0,-90.0,-81.25,-90.0,-79.0
53,204,-56.82,-62.82,-56.5,-52.0,-77.07,-72.0,-52.44,-79.69,-70.67,-78.0,-84.2,-82.5,-81.0
54,204,-60.87,-53.12,-62.83,-57.56,-58.67,-55.64,-60.12,-85.77,-77.5,-90.0,-87.62,-81.75,-86.37
55,Outside,-70.37,-52.06,-53.42,-68.24,-65.44,-54.46,-55.4,-88.5,-80.17,-83.53,-90.0,-73.67,-71.0
56,Outside,-61.0,-68.39,-79.5,-64.72,-78.72,-76.86,-53.43,-80.0,-83.12,-88.12,-78.85,-76.5,-87.0
57,Outside,-57.0,-66.25,-52.33,-58.5,-70.2,-72.61,-59.15,-79.8,-78.33,-78.5,-72.61,-59.73,-90.0
58,Outside,-58.0,-70.11,-67.67,-54.44,-82.0,-75.75,-48.0,-82.07,-84.79,-87.89,-85.0,-79.33,-86.0
59,Outside,-72.73,-66.76,-50.46,-60.72,-74.75,-66.25,-52.7,-86.4,-77.5,-73.47,-80.4,-59.33,-90.0
60,Outside,-69.45,-66.95,-64.33,-53.75,-77.36,-74.18,-54.79,-74.37,-72.67,-90.0,-76.94,-78.0,-88.0
61,Outside,-69.8,-45.33,-48.27,-63.33,-65.44,-51.38,-55.43,-84.77,-80.44,-81.94,-86.0,-67.25,-90.0
62,Outside,-64.0,-46.82,-51.41,-63.0,-63.38,-59.85,-54.68,-77.43,-81.0,-90.0,-85.75,-65.15,-90.0
63,Outside,-68.0,-74.0,-70.4,-64.12,-84.5,-77.67,-43.0,-73.13,-85.0,-90.0,-80.27,-79.5,-90.0
