entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
24,20,36:20:f9:a1:88:62,CSE OFFICE,8,-68.12,4.17,-68.4,5,2.8
24,20,36:62:f9:a1:88:57,CSE OFFICE,5,-92.0,0.0,-92.0,3,0.0
24,20,bc:22:28:21:55:6e,CSE-104,3,-76.67,14.61,-76.67,3,14.61
24,20,bc:22:28:21:09:ba,CSE-206,1,-87.0,0.0,-87.0,1,0.0
24,20,00:22:b0:05:f3:bc,CSE-204,2,-78.0,0.0,-78.0,2,0.0
25,20,bc:22:28:21:09:24,CSE-205,20,-62.05,4.76,-61.92,12,3.35
25,20,bc:22:28:21:09:21,CSE-205,20,-64.2,3.16,-64.25,12,1.79
25,20,30:b5:c2:ea:5b:44,DataLab@BUET,4,-72.75,3.27,-72.75,4,3.27
25,20,36:20:f9:a1:88:62,CSE OFFICE,6,-67.5,7.54,-70.33,3,3.09
25,20,10:62:eb:77:b7:42,CSE-G04,8,-70.12,2.09,-69.6,5,1.2
25,20,26:2f:d0:88:39:a2,IAC,1,-81.0,0.0,-81.0,1,0.0
25,20,bc:22:28:21:09:ba,CSE-206,2,-73.5,8.5,-73.5,2,8.5
25,20,00:1e:2a:ba:c8:20,CSE-401,2,-85.5,2.5,-85.5,2,2.5
25,20,60:63:4c:31:37:60,CSE-306,2,-80.0,9.0,-80.0,2,9.0
25,20,60:63:4c:31:37:40,CSE-303,5,-63.2,5.81,-63.0,3,4.32
25,20,18:0f:76:c3:06:8d,CSE-304,4,-74.75,6.38,-74.75,4,6.38
25,20,36:20:f9:a1:88:56,CSE OFFICE,2,-83.0,1.0,-83.0,2,1.0
25,20,00:22:b0:05:f3:bc,CSE-204,13,-77.08,3.5,-77.5,8,2.5
25,20,34:e8:94:10:7d:fa,Hall of Fame,5,-84.0,0.0,-84.0,3,0.0
25,20,36:62:f9:a1:88:63,CSE OFFICE,14,-87.57,3.54,-88.56,9,0.5
25,20,bc:22:28:21:55:6b,CSE-104,3,-83.67,4.5,-83.67,3,4.5
25,20,36:20:f9:a1:8b:8e,CSE OFFICE,1,-81.0,0.0,-81.0,1,0.0
25,20,bc:22:28:21:55:6e,CSE-104,1,-70.0,0.0,-70.0,1,0.0
26,5,60:63:4c:31:37:40,CSE-303,3,-62.67,0.94,-62.67,3,0.94
26,5,30:b5:c2:ea:5b:44,DataLab@BUET,3,-59.33,6.85,-59.33,3,6.85
26,5,36:20:f9:a1:88:62,CSE OFFICE,2,-63.0,4.0,-63.0,2,4.0
26,5,bc:22:28:21:09:24,CSE-205,4,-53.0,5.92,-53.0,4,5.92
26,5,bc:22:28:21:09:21,CSE-205,5,-58.2,5.64,-58.33,3,4.5
26,5,36:20:f9:a1:88:56,CSE OFFICE,2,-69.5,2.5,-69.5,2,2.5
26,5,00:22:b0:05:f3:bc,CSE-204,2,-64.0,5.0,-64.0,2,5.0
26,5,bc:22:28:21:55:6b,CSE-104,3,-87.0,2.94,-87.0,3,2.94
26,5,36:62:f9:a1:88:63,CSE OFFICE,1,-83.0,0.0,-83.0,1,0.0
26,5,5e:a9:31:22:bb:0a,CSE-LAB,1,-67.0,0.0,-67.0,1,0.0
26,5,34:e8:94:10:7d:fa,Hall of Fame,1,-67.0,0.0,-67.0,1,0.0
27,20,60:63:4c:31:37:48,dlink,18,-87.72,2.82,-87.91,11,1.73
27,20,bc:22:28:21:55:6b,CSE-104,6,-87.83,2.61,-88.67,3,2.05
27,20,36:20:f9:a1:88:62,CSE OFFICE,1,-68.0,0.0,-68.0,1,0.0
27,20,36:62:f9:a1:88:63,CSE OFFICE,9,-95.78,0.92,-96.0,6,0.58
27,20,36:62:f9:a1:88:57,CSE OFFICE,15,-89.0,3.29,-88.33,9,1.56
27,20,bc:22:28:21:09:21,CSE-205,18,-79.44,4.5,-78.36,11,1.67
27,20,36:20:f9:a1:88:56,CSE OFFICE,3,-64.33,2.36,-64.33,3,2.36
27,20,00:22:b0:05:f3:bc,CSE-204,17,-61.12,6.57,-61.6,10,4.88
27,20,bc:22:28:21:09:24,CSE-205,1,-68.0,0.0,-68.0,1,0.0
