entryId,roomNo,StudentID,DeviceModel,BatteryLifeBefore,BatteryLifeAfter,DateTime,NumScans,AvgDataPerScan
1,CSE204,1607110,SM-M325F,80,80,18/11/2024: 13:08:40,1,9.0
2,CSE204,1607110,SM-M325F,80,80,18/11/2024: 13:11:20,1,3.0
3,CSE204,"1607110",SM-M325F,80,80,18/11/2024: 13:12:19,2,8.0
4,CSE204,1607110,SM-M325F,80,80,18/11/2024: 13:13:03,20,17.95
5,CSE203,2005075,SM-S918B,49,48,18/11/2024: 13:09:33,20,13.0
6,CSE 205,2005118,RMX3461,36,34,18/11/2024: 13:21:53,11,17.27
