scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
449,5,4,5765,bc:22:28:21:55:6b,CSE-104,-72
450,5,5,5805,36:62:f9:a1:88:57,CSE OFFICE,-75
451,5,5,5785,bc:22:28:21:09:22,,-76
452,5,5,5785,bc:22:28:21:09:21,CSE-205,-74
453,5,5,2462,26:94:5a:1b:90:4d,Tatakae🥷,-68
454,5,5,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-70
455,5,5,5765,bc:22:28:21:55:6c,,-73
456,5,5,2462,70:4c:a5:95:b6:01,eduroam,-80
457,5,5,5765,bc:22:28:21:55:6b,CSE-104,-74
458,5,5,2412,a6:59:c9:64:d6:36,Pixel_5325,-62
459,5,5,5785,bc:22:28:21:09:b8,,-83
460,5,5,5745,52:29:6f:70:e8:02,Shakshor,-84
461,5,5,2412,00:22:b0:05:f3:bc,CSE-204,-59
462,5,5,2462,bc:22:28:21:55:6e,CSE-104,-68
463,5,5,2432,60:63:4c:31:37:40,CSE-303,-53
464,5,5,2412,18:0f:76:c3:06:8d,CSE-304,-48
465,5,5,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-61
466,5,6,5805,36:62:f9:a1:88:57,CSE OFFICE,-75
467,5,6,5785,bc:22:28:21:09:22,,-76
468,5,6,5785,bc:22:28:21:09:21,CSE-205,-74
469,5,6,2462,26:94:5a:1b:90:4d,Tatakae🥷,-68
470,5,6,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-70
471,5,6,5765,bc:22:28:21:55:6c,,-73
472,5,6,2462,70:4c:a5:95:b6:01,eduroam,-80
473,5,6,5765,bc:22:28:21:55:6b,CSE-104,-74
474,5,6,2412,a6:59:c9:64:d6:36,Pixel_5325,-62
475,5,6,5785,bc:22:28:21:09:b8,,-83
476,5,6,5745,52:29:6f:70:e8:02,Shakshor,-84
477,5,6,2412,00:22:b0:05:f3:bc,CSE-204,-59
478,5,6,2462,bc:22:28:21:55:6e,CSE-104,-68
479,5,6,2432,60:63:4c:31:37:40,CSE-303,-53
480,5,6,2412,18:0f:76:c3:06:8d,CSE-304,-48
481,5,6,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-61
482,5,7,5805,36:62:f9:a1:88:57,CSE OFFICE,-75
483,5,7,5785,bc:22:28:21:09:22,,-76
484,5,7,5785,bc:22:28:21:09:21,CSE-205,-74
485,5,7,2462,26:94:5a:1b:90:4d,Tatakae🥷,-68
486,5,7,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-70
487,5,7,5765,bc:22:28:21:55:6c,,-73
488,5,7,2462,70:4c:a5:95:b6:01,eduroam,-80
489,5,7,5765,bc:22:28:21:55:6b,CSE-104,-74
490,5,7,2412,a6:59:c9:64:d6:36,Pixel_5325,-62
491,5,7,5785,bc:22:28:21:09:b8,,-83
492,5,7,5745,52:29:6f:70:e8:02,Shakshor,-84
493,5,7,2412,00:22:b0:05:f3:bc,CSE-204,-59
494,5,7,2462,bc:22:28:21:55:6e,CSE-104,-68
495,5,7,2432,60:63:4c:31:37:40,CSE-303,-53
496,5,7,2412,18:0f:76:c3:06:8d,CSE-304,-48
497,5,7,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-61
498,5,8,5785,bc:22:28:21:09:b8,,-84
499,5,8,5745,52:29:6f:70:e8:02,Shakshor,-80
500,5,8,2412,00:22:b0:05:f3:bc,CSE-204,-65
