CSE_203_r4c4_i,-53.82,-66.2,-53.67,-48.0,-71.33,-54.5,-100.0,-68.0,-73.62,-100.0,-85.0,-74.33,1
CSE_203_r0c3_o,-64.09,-48.43,-48.0,-44.5,-53.67,-45.56,-46.57,-100.0,-100.0,-52.0,-70.36,-100.0,0
CSE_203_r0c1_o,-60.55,-45.0,-50.3,-46.33,-53.25,-45.25,-48.89,-100.0,-63.14,-56.33,-100.0,-100.0,0
CSE_203_r3c2_i,-51.82,-63.0,-54.44,-55.2,-68.62,-52.5,-70.25,-61.25,-72.0,-86.5,-75.36,-100.0,1
CSE_203_r0c5_o,-63.55,-52.37,-48.57,-100.0,-48.0,-51.44,-38.33,-85.67,-100.0,-57.5,-71.09,-75.0,0
CSE_203_r3c4_i,-49.09,-64.18,-47.8,-70.67,-66.18,-41.55,-100.0,-84.0,-75.62,-85.0,-76.91,-75.25,1
CSE_203_r4c2_i,-51.82,-58.55,-57.17,-57.17,-72.0,-59.55,-66.5,-81.0,-67.33,-100.0,-77.27,-57.75,1
CSE_203_r2c5_o,-56.18,-46.75,-52.6,-75.0,-60.14,-31.1,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,0
CSE_203_r1c1_i,-51.09,-61.45,-54.33,-46.0,-59.5,-54.33,-48.25,-52.0,-71.14,-82.0,-74.78,-100.0,1
CSE_203_r1c3_i,-45.45,-59.1,-51.17,-53.5,-65.83,-52.3,-53.86,-59.75,-73.86,-76.0,-77.0,-80.33,1
CSE_203_r2c3_i,-46.64,-54.82,-49.25,-55.0,-69.4,-48.4,-100.0,-81.25,-59.33,-85.5,-77.09,-100.0,1
CSE_203_r2c1_i,-52.36,-66.9,-45.25,-57.0,-71.2,-54.75,-66.67,-67.2,-76.1,-85.33,-75.45,-85.0,1
CSE_203_r1c5_o,-53.09,-55.86,-52.83,-75.0,-59.33,-40.8,-100.0,-100.0,-100.0,-100.0,-77.6,-79.0,0
CSE_203_r4c3_i,-50.64,-61.91,-52.17,-47.33,-68.33,-55.6,-100.0,-80.5,-74.89,-100.0,-73.0,-100.0,1
CSE_203_r0c4_o,-61.36,-40.86,-52.75,-65.0,-51.75,-45.5,-43.17,-100.0,-86.0,-74.33,-100.0,-74.0,0
CSE_203_r3c1_i,-45.45,-65.4,-52.43,-52.17,-70.43,-52.57,-57.43,-65.37,-86.67,-100.0,-76.82,-83.0,1
CSE_203_r0c2_o,-60.55,-57.67,-44.11,-43.8,-55.4,-51.2,-45.7,-100.0,-62.0,-54.57,-100.0,-100.0,0
CSE_203_r3c3_i,-38.64,-56.73,-53.0,-54.57,-68.25,-52.2,-67.0,-82.5,-69.0,-86.0,-74.29,-100.0,1
CSE_203_r3c5_o,-48.55,-51.25,-60.87,-72.0,-59.2,-41.89,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,0
CSE_203_r0c0_o,-65.0,-55.4,-52.57,-39.33,-78.5,-58.33,-42.75,-53.0,-58.5,-56.83,-100.0,-100.0,0
CSE_203_r4c1_i,-49.73,-68.36,-50.8,-45.0,-72.71,-58.3,-71.0,-66.87,-73.0,-88.0,-83.0,-80.33,1
CSE_203_r1c2_i,-61.45,-59.1,-55.12,-50.4,-69.17,-59.09,-100.0,-58.0,-70.83,-80.33,-73.7,-81.5,1
CSE_203_r1c4_i,-61.55,-53.82,-55.87,-69.0,-67.78,-50.73,-68.5,-63.0,-58.0,-84.33,-88.0,-78.0,1
CSE_203_r2c4_i,-56.64,-62.78,-46.67,-52.5,-71.2,-42.55,-100.0,-63.0,-89.0,-87.0,-100.0,-57.75,1
CSE_203_r2c2_i,-46.36,-51.33,-44.17,-54.17,-66.4,-59.22,-72.0,-65.43,-71.4,-78.5,-75.73,-100.0,1
