scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
2252,8,9,2462,b8:3a:08:dd:a2:98,Room no. 306,-88
2253,8,9,5200,2c:fe:e2:59:d0:c2,Horion_e9,-61
2254,8,9,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-61
2255,8,9,2462,bc:22:28:20:b9:f6,CSE-503,-83
2256,8,9,5765,bc:22:28:21:55:6c,,-81
2257,8,9,5765,bc:22:28:21:55:6b,CSE-104,-79
2258,8,9,5785,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,-59
2259,8,9,2437,56:f1:5f:2e:f3:7a,Horion_yj,-68
2260,8,9,5745,52:29:6f:70:e8:02,Shakshor,-84
2261,8,9,2457,34:60:f9:a1:8b:8e,,-76
2262,8,9,2462,60:63:4c:31:37:60,CSE-306,-83
2263,8,9,2462,60:a4:b7:20:74:5c,Room-1114,-87
2264,8,9,2432,60:63:4c:31:37:40,CSE-303,-49
2265,8,9,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-58
2266,8,9,5805,36:62:f9:a1:88:63,CSE OFFICE,-82
2267,8,9,5180,60:63:4c:31:37:48,dlink,-78
2268,8,9,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-57
2269,8,9,5805,34:60:f9:a1:88:63,,-82
2270,8,9,2457,bc:22:28:21:09:24,CSE-205,-48
2271,8,9,2462,00:1e:2a:ba:c8:20,CSE-401,-85
2272,8,9,2462,82:af:ca:21:95:ea,,-88
2273,8,9,5785,bc:22:28:21:09:21,CSE-205,-54
2274,8,9,2462,70:4c:a5:95:b6:00,BUET-Free-WiFi,-86
2275,8,9,2462,cc:2d:21:3e:5b:b0,Room 202,-89
2276,8,9,2462,bc:22:28:21:55:6e,CSE-104,-68
2277,8,9,2412,18:0f:76:c3:06:8d,CSE-304,-67
2278,8,9,2462,34:e8:94:10:7d:fa,Hall of Fame,-80
2279,8,9,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-45
2280,8,9,2462,8e:f6:fd:8d:6d:a4,POCO X3 Pro,-59
2281,8,9,2452,cc:2d:21:36:d7:90,Savage-us,-85
2282,8,10,5200,2c:fe:e2:59:d0:c2,Horion_e9,-60
2283,8,10,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-66
2284,8,10,2462,bc:22:28:20:b9:f6,CSE-503,-77
2285,8,10,5765,bc:22:28:21:55:6c,,-83
2286,8,10,5765,bc:22:28:21:55:6b,CSE-104,-83
2287,8,10,5785,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,-65
2288,8,10,5745,52:29:6f:70:e8:02,Shakshor,-81
2289,8,10,2462,60:63:4c:31:37:60,CSE-306,-84
2290,8,10,2462,60:a4:b7:20:74:5c,Room-1114,-87
2291,8,10,2432,60:63:4c:31:37:40,CSE-303,-53
2292,8,10,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-54
2293,8,10,5805,36:62:f9:a1:88:63,CSE OFFICE,-80
