entryId,roomNo,StudentID,DeviceModel,BatteryLifeBefore,BatteryLifeAfter,DateTime,NumScans,AvgDataPerScan
1,CSE203,2005045,SM-S908E,74,73,18/11/2024: 12:52:44,20,12.55
2,CSE203,2005005,CPH1931,42,42,18/11/2024: 12:54:18,20,34.25
3,CSE203,2005031,RMX3085,56,56,18/11/2024: 12:54:44,20,10.65
4,CSE203,2005037,23021RAAEG,72,72,18/11/2024: 12:56:09,20,12.15
5,CSE203,2005026,V2116,58,58,18/11/2024: 12:56:59,20,10.55
6,CSE203,2005058,SM-A525F,20,19,18/11/2024: 12:57:13,20,8.75
7,CSE203,2005006,M2012K11AI,28,27,18/11/2024: 12:57:23,20,15.5
8,CSE203,1905009,RMX3363,49,48,18/11/2024: 12:57:28,20,21.4
9,CSE203,2005004,RMX3286,90,90,18/11/2024: 12:57:30,20,12.8
10,CSE203,2005029,SM-A546E,70,69,18/11/2024: 12:57:32,20,21.2
11,CSE203,2005031,RMX3085,56,56,18/11/2024: 12:57:35,5,6.8
12,CSE203,2005052,SM-S711B,54,54,18/11/2024: 12:57:37,20,15.75
13,CSE203,2005024,21061119BI,23,23,18/11/2024: 12:57:39,20,8.85
14,CSE203,2005056,23122PCD1I,80,79,18/11/2024: 12:57:40,20,13.0
15,CSE203,2005049,21061119AG,65,64,18/11/2024: 12:57:41,20,15.05
16,CSE203,2005046,M2102J20SI,8,7,18/11/2024: 12:57:43,20,18.8
17,CSE203,2005008,CPH2285,3,2,18/11/2024: 12:57:44,20,11.8
18,CSE203,2005014,M2101K7BG,17,17,18/11/2024: 12:57:44,20,13.2
19,CSE203,2005059,SM-A205F,69,68,18/11/2024: 12:58:06,20,12.0
20,CSE203,2005048,RMX2103,52,52,18/11/2024: 12:58:18,20,22.45
21,CSE203,2005075,SM-S918B,48,48,18/11/2024: 13:12:54,20,20.75
22,CSE203,2005001,M2101K7AI,77,76,18/11/2024: 13:38:00,13,14.23
23,CSE203,2005028,SM-M127G,90,89,18/11/2024: 12:58:04,20,10.75
24,CSE203,2005060,M2101K6I,50,50,18/11/2024: 12:59:17,20,10.05
25,CSE203,2005018,SM-N770F,54,52,18/11/2024: 12:59:55,20,16.25
