entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
1,20,30:b5:c2:ea:5b:44,DataLab@BUET,3,-64.0,3.56,-64.0,3,3.56
1,20,00:22:b0:05:f3:bc,CSE-204,2,-72.0,0.0,-72.0,2,0.0
1,20,36:20:f9:a1:88:62,CSE OFFICE,1,-68.0,0.0,-68.0,1,0.0
1,20,60:63:4c:31:37:40,CSE-303,18,-63.11,0.99,-63.0,11,0.0
1,20,18:0f:76:c3:06:8d,CSE-304,1,-70.0,0.0,-70.0,1,0.0
1,20,36:62:f9:a1:88:57,CSE OFFICE,16,-91.62,0.6,-91.62,16,0.6
1,20,36:62:f9:a1:88:63,CSE OFFICE,17,-86.94,0.64,-87.0,13,0.0
2,18,30:b5:c2:ea:5b:44,DataLab@BUET,17,-62.88,1.94,-62.88,17,1.94
2,18,00:22:b0:05:f3:bc,CSE-204,12,-66.67,3.22,-68.0,10,0.0
2,18,36:20:f9:a1:88:62,CSE OFFICE,2,-69.0,1.0,-69.0,2,1.0
2,18,60:63:4c:31:37:40,CSE-303,17,-69.24,2.29,-69.24,17,2.29
2,18,36:62:f9:a1:88:63,CSE OFFICE,2,-87.0,0.0,-87.0,2,0.0
2,18,36:62:f9:a1:88:57,CSE OFFICE,1,-87.0,0.0,-87.0,1,0.0
2,18,36:20:f9:a1:88:56,CSE OFFICE,1,-68.0,0.0,-68.0,1,0.0
2,18,18:0f:76:c3:06:8d,CSE-304,3,-76.0,0.0,-76.0,3,0.0
3,18,36:20:f9:a1:88:62,CSE OFFICE,14,-59.5,2.95,-59.5,14,2.95
3,18,36:62:f9:a1:88:63,CSE OFFICE,17,-81.0,0.69,-81.0,9,0.0
3,18,60:63:4c:31:37:40,CSE-303,1,-54.0,0.0,-54.0,1,0.0
3,18,36:20:f9:a1:88:56,CSE OFFICE,9,-73.0,0.0,-73.0,9,0.0
3,18,18:0f:76:c3:06:8d,CSE-304,1,-66.0,0.0,-66.0,1,0.0
4,18,60:63:4c:31:37:40,CSE-303,17,-55.41,2.17,-55.41,17,2.17
4,18,00:22:b0:05:f3:bc,CSE-204,11,-60.55,0.99,-61.0,9,0.0
4,18,36:62:f9:a1:88:63,CSE OFFICE,13,-84.15,1.79,-84.0,9,0.0
4,18,18:0f:76:c3:06:8d,CSE-304,2,-64.5,2.5,-64.5,2,2.5
4,18,36:20:f9:a1:88:62,CSE OFFICE,8,-65.62,2.96,-65.62,8,2.96
4,18,36:20:f9:a1:88:56,CSE OFFICE,5,-69.0,2.0,-68.0,4,0.0
5,5,30:b5:c2:ea:5b:44,DataLab@BUET,4,-60.5,4.33,-60.5,4,4.33
5,5,36:62:f9:a1:88:63,CSE OFFICE,4,-85.5,2.6,-85.5,4,2.6
5,5,00:22:b0:05:f3:bc,CSE-204,1,-65.0,0.0,-65.0,1,0.0
5,5,60:63:4c:31:37:40,CSE-303,3,-63.0,0.0,-63.0,3,0.0
6,18,30:b5:c2:ea:5b:44,DataLab@BUET,16,-67.19,2.24,-67.19,16,2.24
6,18,60:63:4c:31:37:40,CSE-303,17,-70.59,3.07,-70.59,17,3.07
6,18,18:0f:76:c3:06:8d,CSE-304,4,-76.0,0.0,-76.0,4,0.0
6,18,36:20:f9:a1:88:56,CSE OFFICE,12,-76.17,1.72,-76.0,9,0.0
6,18,36:20:f9:a1:88:62,CSE OFFICE,11,-73.27,0.62,-73.0,9,0.0
6,18,36:62:f9:a1:88:63,CSE OFFICE,1,-87.0,0.0,-87.0,1,0.0
6,18,00:22:b0:05:f3:bc,CSE-204,1,-70.0,0.0,-70.0,1,0.0
7,18,36:62:f9:a1:88:63,CSE OFFICE,14,-91.07,1.44,-91.38,13,0.92
7,18,30:b5:c2:ea:5b:44,DataLab@BUET,15,-61.87,2.8,-61.87,15,2.8
7,18,60:63:4c:31:37:40,CSE-303,11,-64.45,2.31,-64.45,11,2.31
7,18,36:20:f9:a1:88:62,CSE OFFICE,1,-76.0,0.0,-76.0,1,0.0
7,18,36:62:f9:a1:88:57,CSE OFFICE,10,-89.8,2.18,-89.8,10,2.18
7,18,36:20:f9:a1:88:56,CSE OFFICE,1,-70.0,0.0,-70.0,1,0.0
7,18,00:22:b0:05:f3:bc,CSE-204,1,-76.0,0.0,-76.0,1,0.0
8,18,36:62:f9:a1:88:57,CSE OFFICE,3,-93.0,0.0,-93.0,3,0.0
8,18,00:22:b0:05:f3:bc,CSE-204,17,-63.18,3.03,-62.2,15,1.51
8,18,60:63:4c:31:37:40,CSE-303,3,-61.0,0.82,-61.0,3,0.82
8,18,36:62:f9:a1:88:63,CSE OFFICE,5,-90.2,1.6,-90.2,5,1.6
8,18,18:0f:76:c3:06:8d,CSE-304,10,-74.1,1.64,-74.1,10,1.64
8,18,36:20:f9:a1:88:56,CSE OFFICE,3,-63.0,0.0,-63.0,3,0.0
8,18,30:b5:c2:ea:5b:44,DataLab@BUET,5,-62.2,3.92,-62.2,5,3.92
8,18,36:20:f9:a1:88:62,CSE OFFICE,3,-69.0,0.0,-69.0,3,0.0
9,18,30:b5:c2:ea:5b:44,DataLab@BUET,12,-59.08,1.04,-59.0,10,0.0
9,18,36:62:f9:a1:88:63,CSE OFFICE,6,-90.67,2.49,-90.0,4,0.0
9,18,36:62:f9:a1:88:57,CSE OFFICE,6,-91.17,2.54,-91.17,6,2.54
9,18,60:63:4c:31:37:40,CSE-303,9,-73.0,0.0,-73.0,9,0.0
9,18,36:20:f9:a1:88:62,CSE OFFICE,1,-72.0,0.0,-72.0,1,0.0
9,18,00:22:b0:05:f3:bc,CSE-204,3,-61.0,4.32,-61.0,3,4.32
10,18,00:22:b0:05:f3:bc,CSE-204,18,-63.22,2.15,-63.22,18,2.15
10,18,60:63:4c:31:37:40,CSE-303,11,-63.91,1.44,-63.91,11,1.44
10,18,18:0f:76:c3:06:8d,CSE-304,5,-75.2,1.83,-75.2,5,1.83
10,18,30:b5:c2:ea:5b:44,DataLab@BUET,10,-62.3,3.87,-62.3,10,3.87
10,18,36:20:f9:a1:88:56,CSE OFFICE,3,-59.33,4.71,-59.33,3,4.71
10,18,36:62:f9:a1:88:63,CSE OFFICE,6,-87.83,1.86,-87.83,6,1.86
10,18,36:62:f9:a1:88:57,CSE OFFICE,6,-89.17,2.97,-89.17,6,2.97
10,18,bc:22:28:21:55:6e,CSE-104,1,-84.0,0.0,-84.0,1,0.0
11,18,00:22:b0:05:f3:bc,CSE-204,18,-71.33,3.5,-71.33,18,3.5
11,18,18:0f:76:c3:06:8d,CSE-304,18,-70.0,2.31,-69.0,15,0.63
11,18,36:62:f9:a1:88:63,CSE OFFICE,3,-83.0,0.0,-83.0,3,0.0
12,18,36:62:f9:a1:88:63,CSE OFFICE,18,-88.94,1.54,-88.33,15,0.7
12,18,60:63:4c:31:37:40,CSE-303,15,-62.53,2.58,-62.0,10,0.0
12,18,36:20:f9:a1:88:62,CSE OFFICE,10,-65.1,0.3,-65.0,9,0.0
12,18,36:62:f9:a1:88:57,CSE OFFICE,5,-90.0,1.1,-89.5,4,0.5
12,18,00:22:b0:05:f3:bc,CSE-204,11,-70.09,0.67,-70.0,9,0.0
